Level,Area_km2,Volume_million_m3
-242.2,49.546484,301.15786
-242.21,49.505293,300.64202
-242.22,49.464087,300.1266
-242.23,49.422867,299.61161
-242.24,49.381631,299.09703
-242.25,49.340376,298.58288
-242.26,49.299101,298.06915
-242.27,49.257806,297.55583
-242.28,49.216488,297.04294
-242.29,49.175145,296.53047
-242.3,49.133777,296.01841
-242.31,49.092382,295.50678
-242.32,49.050959,294.99556
-242.33,49.009504,294.48476
-242.34,48.968019,293.97438
-242.35,48.9265,293.46441
-242.36,48.884946,292.95486
-242.37,48.843356,292.44573
-242.38,48.801728,291.93702
-242.39,48.76006,291.42872
-242.4,48.718352,290.92083
-242.41,48.676602,290.41336
-242.42,48.634808,289.90631
-242.43,48.592968,289.39967
-242.44,48.551081,288.89344
-242.45,48.509146,288.38763
-242.46,48.467161,287.88223
-242.47,48.425124,287.37724
-242.48,48.383035,286.87267
-242.49,48.340891,286.36851
-242.5,48.298691,285.86476
-242.51,48.256433,285.36142
-242.52,48.214116,284.85849
-242.53,48.171739,284.35598
-242.54,48.1293,283.85387
-242.55,48.086797,283.35218
-242.56,48.044228,282.85089
-242.57,48.001594,282.35001
-242.58,47.958891,281.84955
-242.59,47.916118,281.34949
-242.6,47.873274,280.84984
-242.61,47.830357,280.35059
-242.62,47.787366,279.85176
-242.63,47.7443,279.35333
-242.64,47.701156,278.85531
-242.65,47.657933,278.3577
-242.66,47.61463,277.86049
-242.67,47.571245,277.36369
-242.68,47.527777,276.86729
-242.69,47.484224,276.3713
-242.7,47.440584,275.87571
-242.71,47.396857,275.38053
-242.72,47.35304,274.88575
-242.73,47.309132,274.39138
-242.74,47.265132,273.89741
-242.75,47.221038,273.40384
-242.76,47.176848,272.91067
-242.77,47.132561,272.41791
-242.78,47.088176,271.92555
-242.79,47.043691,271.43359
-242.8,46.999104,270.94203
-242.81,46.954414,270.45087
-242.82,46.909619,269.96011
-242.83,46.864718,269.46976
-242.84,46.81971,268.9798
-242.85,46.774592,268.49024
-242.86,46.729364,268.00108
-242.87,46.684024,267.51232
-242.88,46.638569,267.02396
-242.89,46.593,266.536
-242.9,46.547314,266.04843
-242.91,46.501514,265.56127
-242.92,46.455602,265.0745
-242.93,46.409579,264.58814
-242.94,46.363448,264.10217
-242.95,46.317211,263.61661
-242.96,46.27087,263.13146
-242.97,46.224428,262.64671
-242.98,46.177886,262.16237
-242.99,46.131247,261.67843
-243,46.084513,261.19491
-243.01,46.037686,260.7118
-243.02,45.990768,260.22909
-243.03,45.943762,259.74681
-243.04,45.896669,259.26493
-243.05,45.849491,258.78347
-243.06,45.802232,258.30243
-243.07,45.754892,257.8218
-243.08,45.707475,257.34159
-243.09,45.659982,256.86181
-243.1,45.612416,256.38244
-243.11,45.564778,255.9035
-243.12,45.517071,255.42498
-243.13,45.469297,254.94688
-243.14,45.421458,254.46921
-243.15,45.373557,253.99197
-243.16,45.325595,253.51515
-243.17,45.277575,253.03877
-243.18,45.229498,252.56281
-243.19,45.181368,252.08729
-243.2,45.133185,251.6122
-243.21,45.084953,251.13754
-243.22,45.036674,250.66332
-243.23,44.988349,250.18953
-243.24,44.939981,249.71618
-243.25,44.891571,249.24328
-243.26,44.843123,248.77081
-243.27,44.794639,248.29878
-243.28,44.746119,247.82719
-243.29,44.697567,247.35605
-243.3,44.648985,246.88535
-243.31,44.600375,246.4151
-243.32,44.55174,245.94529
-243.33,44.50308,245.47593
-243.34,44.454399,245.00702
-243.35,44.405698,244.53856
-243.36,44.35698,244.07056
-243.37,44.308247,243.603
-243.38,44.259501,243.1359
-243.39,44.210744,242.66926
-243.4,44.161979,242.20307
-243.41,44.113207,241.73733
-243.42,44.064431,241.27206
-243.43,44.015653,240.80725
-243.44,43.966875,240.34289
-243.45,43.9181,239.879
-243.46,43.869328,239.41558
-243.47,43.820563,238.95261
-243.48,43.771807,238.49012
-243.49,43.723062,238.02808
-243.5,43.67433,237.56652
-243.51,43.625612,237.10543
-243.52,43.576913,236.6448
-243.53,43.528233,236.18465
-243.54,43.479574,235.72497
-243.55,43.43094,235.26577
-243.56,43.382331,234.80703
-243.57,43.33375,234.34878
-243.58,43.2852,233.891
-243.59,43.236683,233.4337
-243.6,43.1882,232.97688
-243.61,43.139754,232.52054
-243.62,43.091347,232.06469
-243.63,43.042981,231.60931
-243.64,42.994658,231.15442
-243.65,42.946381,230.70002
-243.66,42.898152,230.2461
-243.67,42.849972,229.79267
-243.68,42.801844,229.33973
-243.69,42.753771,228.88728
-243.7,42.705753,228.43532
-243.71,42.657795,227.98386
-243.72,42.609897,227.53288
-243.73,42.562061,227.0824
-243.74,42.514291,226.63242
-243.75,42.466587,226.18294
-243.76,42.418953,225.73395
-243.77,42.371391,225.28546
-243.78,42.323902,224.83748
-243.79,42.276489,224.38999
-243.8,42.229153,223.94301
-243.81,42.181898,223.49653
-243.82,42.134725,223.05056
-243.83,42.087637,222.60509
-243.84,42.040635,222.16013
-243.85,41.993722,221.71569
-243.86,41.9469,221.27175
-243.87,41.90017,220.82832
-243.88,41.853537,220.3854
-243.89,41.807,219.943
-243.9,41.760562,219.50111
-243.91,41.714223,219.05974
-243.92,41.66798,218.61888
-243.93,41.621831,218.17853
-243.94,41.575776,217.73869
-243.95,41.529813,217.29936
-243.96,41.48394,216.86054
-243.97,41.438156,216.42223
-243.98,41.392458,215.98442
-243.99,41.346846,215.54712
-244,41.301318,215.11032
-244.01,41.255872,214.67403
-244.02,41.210507,214.23824
-244.03,41.165221,213.80296
-244.04,41.120013,213.36817
-244.05,41.074881,212.93388
-244.06,41.029824,212.5001
-244.07,40.984839,212.06681
-244.08,40.939926,211.63401
-244.09,40.895082,211.20171
-244.1,40.850307,210.76991
-244.11,40.805598,210.3386
-244.12,40.760955,209.90779
-244.13,40.716375,209.47746
-244.14,40.671857,209.04763
-244.15,40.627399,208.61829
